song_id,name,difficulty,unofficial_diff,ec_diff,hc_diff,exh_diff
5125,"Burning Flame",LEGGENDARIA,12.3,5.2,7.8,11.0
5127,"龍王の霊廟(Mausoleum Of The Primal Dragon)",LEGGENDARIA,12.4,6.4,9.8,12.4
5130,"kors k's How to make OTOGE CORE 「LONG」",ANOTHER,12.3,6.0,8.3,11.2
5133,"Beyond Evolution",ANOTHER,12.6,9.4,12.3,13.9
5145,glacia,ANOTHER,12.2,4.9,7.4,10.2
5148,Chaotoxin,ANOTHER,12.4,6.1,9.2,11.8
5151,"栄冠のカンパネラ",ANOTHER,12.5,8.5,10.5,13.0
5154,BIGWAVERS,ANOTHER,12.3,5.7,8.2,11.0
5157,Somnidiscotheque,ANOTHER,12.7,11.7,13.0,14.1
5169,"神のシナリオ",ANOTHER,12.2,3.6,7.5,10.7
5172,"ぞうしょく！？マイデンティティ",ANOTHER,12.3,6.1,8.6,11.2
5175,Xerulean,ANOTHER,12.6,9.2,10.9,13.2
5184,"MAX 300",ANOTHER,12.3,6.1,9.0,11.8
5190,OTOKOZAKA,ANOTHER,12.1,4.5,7.1,9.9
5194,"Elektrick U-Phoria",LEGGENDARIA,12.6,8.6,10.5,12.6
5196,"Violet Pulse",LEGGENDARIA,12.5,7.9,10.4,12.7
5197,"four pieces of heaven",LEGGENDARIA,12.6,10.3,12.2,13.8
5200,#CMFLG,ANOTHER,12.0,1.4,6.1,9.8
5203,"24h Endurance Race",ANOTHER,12.3,5.8,8.8,11.8
5206,"Always We Trust In You",ANOTHER,12.2,3.7,7.8,11.0
5218,"MAX 360",ANOTHER,12.2,2.1,6.8,10.4
5227,Stylus,ANOTHER,12.3,4.0,7.2,10.3
5233,VOID,ANOTHER,12.4,7.4,10.1,12.5
5239,suspicions,ANOTHER,12.5,8.6,10.1,12.2
5255,ATHER,LEGGENDARIA,12.1,1.5,8.2,11.5
5256,"Dances with Snow Fairies",LEGGENDARIA,12.7,11.4,13.0,14.1
5272,Dahlia,ANOTHER,12.1,2.4,6.2,10.0
5284,frequent,ANOTHER,12.3,4.8,7.5,10.5
5287,"GAME ON",ANOTHER,12.2,2.8,7.5,11.0
5293,"Ghost Pulse",ANOTHER,12.2,4.2,7.1,10.0
5305,"JUSTICE/GUILTY feat. Nana Takahashi & 709sec.",ANOTHER,12.1,2.8,6.6,9.9
5317,"SOLAR ECLIPSE",ANOTHER,12.4,5.7,9.9,13.2
5371,"摩天楼",ANOTHER,12.4,6.7,8.9,11.6
5380,"恋する☆宇宙戦争っ！！",LEGGENDARIA,12.4,6.4,8.6,11.5
5381,"BLUE DRAGON(雷龍RemixIIDX)",LEGGENDARIA,12.2,5.1,8.4,11.4
5382,CODE:0,LEGGENDARIA,12.5,7.4,9.9,12.5
5397,"《PL|RAYER》",ANOTHER,11.8,1.1,3.8,7.6
5403,"電光",ANOTHER,12.0,1.0,4.7,9.1
5418,Sirius,ANOTHER,12.0,0.8,4.3,8.4
5421,"終焔のClaudia",ANOTHER,12.2,2.5,6.7,10.2
5424,"灼熱Beach Side Bunny (かめりあ's ""Summertime D'n'B"" Remix)",ANOTHER,12.2,1.4,6.6,10.5
5439,"Out of Control",ANOTHER,12.3,5.8,9.2,11.9
5442,"Vermilion Carol",ANOTHER,12.3,4.8,8.1,10.9
5445,"Logic Board",ANOTHER,12.5,8.6,10.4,12.5
5446,"表裏一体！？怪盗いいんちょの悩み",LEGGENDARIA,12.5,7.9,10.3,12.6
5461,"MAXIMUM CHEAT GIRL",ANOTHER,12.3,5.5,8.1,11.2
5464,"Glitch N Ride",ANOTHER,12.4,6.7,9.3,12.0
5476,"Sword of Vengeance",ANOTHER,11.8,1.0,4.1,7.9
5479,"Million Dollar",ANOTHER,12.4,5.7,8.5,11.3
5482,CADENZA,ANOTHER,12.5,8.3,10.0,12.3
5491,Xb10r,ANOTHER,12.3,4.2,7.4,10.4
5494,"Ambivalent Vermilia",ANOTHER,12.5,7.6,9.8,12.5
5509,"Stereo Beasts",ANOTHER,12.3,5.6,7.4,10.0
5511,KING,LEGGENDARIA,12.2,2.6,6.5,9.5
5513,"Miracle 5ympho X",LEGGENDARIA,12.3,3.8,8.3,12.0
5514,O/D*20,LEGGENDARIA,12.4,7.0,9.2,11.8
5516,Saturn,LEGGENDARIA,12.6,8.3,10.8,13.5
5519,"俺ら東京さ行ぐだ",LEGGENDARIA,12.4,6.3,9.6,12.3
5520,"華蝶風雪",LEGGENDARIA,12.3,5.9,8.0,11.3
5544,BLAZING_LAZER,ANOTHER,12.3,5.8,8.1,10.8
5550,"未完成ノ蒸氣驅動乙女",ANOTHER,12.3,4.4,8.1,10.9
5553,"残像ニ繋ガレタ追憶ノHIDEAWAY",ANOTHER,12.0,1.0,4.0,7.7
5556,"Demon March",ANOTHER,12.5,7.2,10.0,12.6
5559,"惑星鉄道",ANOTHER,12.6,9.7,11.8,13.8
5562,"The Last Apocalypse",ANOTHER,12.4,6.0,8.6,11.5
5565,"Level 5",ANOTHER,12.5,6.3,9.7,13.0
5580,ACT0,ANOTHER,12.0,1.4,5.6,9.6
5583,"電腦都市",ANOTHER,12.3,4.6,7.7,11.0
5589,"今宵、ロマンス横丁。",ANOTHER,12.2,1.4,6.3,9.7
5595,CODE:2,ANOTHER,12.0,0.8,4.0,7.9
5598,Vulnerability,ANOTHER,12.5,8.3,10.1,12.6
5604,"Cult Invitation",ANOTHER,12.3,4.1,8.1,11.4
5607,Resonant,ANOTHER,12.3,5.0,8.3,10.9
5614,GUILTY,LEGGENDARIA,12.3,5.3,8.1,10.7
5615,"DEATH†ZIGOQ ～怒りの高速爆走野郎～",LEGGENDARIA,12.7,11.6,12.9,13.9
5616,"Lost Souls",LEGGENDARIA,12.6,9.0,10.7,12.9
5617,"SOLID WYVERN",LEGGENDARIA,12.6,9.7,10.9,12.9
5622,"海神",LEGGENDARIA,12.4,7.1,9.7,12.4
5623,"紫陽花 -AZISAI-",LEGGENDARIA,12.5,8.2,10.8,13.5
5632,"Bring The Fire",ANOTHER,12.2,4.9,6.5,9.8
5641,"COSMIC V3LOCITY",ANOTHER,12.3,5.3,8.0,10.7
5644,destination,ANOTHER,12.4,5.2,7.6,10.4
5653,"Drop Syndicate",ANOTHER,12.4,6.0,9.1,11.8
5662,"EX-MASSIVE FIGHTER",ANOTHER,12.3,6.0,7.6,10.3
5674,"Here We Go Now",ANOTHER,12.0,0.9,4.5,8.1
5680,Lightspeed,ANOTHER,12.4,6.6,8.9,11.2
5689,NOIXIA,ANOTHER,12.4,6.2,8.7,11.7
5707,"Satellite Burst",ANOTHER,12.2,3.6,7.3,10.2
5716,"u gotta beat",ANOTHER,12.2,3.7,7.6,10.5
5734,"スパークリング☆彡ハイパーチューン！！",ANOTHER,12.0,0.9,4.5,8.5
5752,"灼熱 Lost Summer Dayz",ANOTHER,11.8,0.9,4.5,9.6
5760,"Scripted Connection⇒ H mix",LEGGENDARIA,12.2,5.5,7.6,10.5
5762,"ALBA -黎明-",LEGGENDARIA,12.4,5.7,8.4,11.6
5763,"BITTER CHOCOLATE STRIKER",LEGGENDARIA,12.5,8.0,10.1,12.5
5764,"LIGHTNING STRIKES",LEGGENDARIA,12.0,8.7,10.6,12.7
5773,1116,ANOTHER,12.3,5.0,9.1,11.7
5791,"DIVINE JUDGEMENT",ANOTHER,12.3,5.7,8.0,10.7
5794,FlyAway,ANOTHER,12.4,5.0,7.9,10.7
5800,MARLIN,ANOTHER,12.4,6.2,8.9,11.4
5803,"Mid-Corner (Magic Maker)",ANOTHER,12.1,2.2,6.0,9.9
5809,"Roar of Chronos",ANOTHER,12.3,4.6,7.6,10.1
5815,"Seven Times Four",ANOTHER,12.2,3.8,7.5,10.5
5827,"The Onlyonez",ANOTHER,11.6,0.9,4.3,7.8
5830,"Without Heaven",ANOTHER,12.5,7.5,9.6,12.1
5833,"hora de verdad",ANOTHER,12.4,6.5,9.3,12.0
5860,"天使のカンタータ -Cantata of Angels-",ANOTHER,12.5,8.0,9.9,12.4
5881,"スキッテイエェエエェ!!!!",ANOTHER,12.6,8.3,10.7,13.4
5882,"A MINSTREL ～ ver. short-scape ～",LEGGENDARIA,12.2,3.2,6.5,9.3
5883,"Bow shock!!",LEGGENDARIA,12.4,7.3,9.7,11.8
5885,"CUE CUE RESCUE",LEGGENDARIA,11.8,1.0,3.9,8.0
5886,"Caldwell 99",LEGGENDARIA,12.4,5.2,8.5,11.2
5888,HYENA,LEGGENDARIA,12.5,7.4,10.0,12.6
5890,IMPLANTATION,LEGGENDARIA,12.4,8.0,9.8,12.0
5893,"フォニイ",LEGGENDARIA,12.3,4.2,6.9,9.8
5894,"新宝島",LEGGENDARIA,12.3,6.3,8.2,11.0
5895,"蛇神",LEGGENDARIA,12.5,7.5,9.9,12.2
100001,"Breakin' Rules",ANOTHER,12.0,1.1,0.0,0.0
