song_id,name,difficulty,level,unofficial_diff
09020-5-0,Honey,HYPER,8,9.0
09021-5-0,"HYPER EUROBEAT (2DX STYLE)",HYPER,8,8.5
09022-5-0,"I can fly, I've got reason",HYPER,7,7.5
09022-7-0,"I can fly, I've got reason",ANOTHER,10,10.7
09023-7-0,"I Was The One (80's EUROBEAT STYLE)",ANOTHER,8,8.5
09025-5-0,Karma,HYPER,11,11.0
09025-7-0,Karma,ANOTHER,12,12.4
09026-5-0,"Let The Snow Paint Me -Y&Co. Remix-",HYPER,8,8.5
09026-7-0,"Let The Snow Paint Me -Y&Co. Remix-",ANOTHER,9,9.6
09027-5-0,"Let's say Hello!",HYPER,7,7.5
09027-7-0,"Let's say Hello!",ANOTHER,9,10.0
09028-5-0,lights,HYPER,9,10.0
09028-7-0,lights,ANOTHER,10,10.5
09029-5-0,"Logic Board",HYPER,8,9.3
09029-7-0,"Logic Board",ANOTHER,12,12.5
09030-5-0,"LOVE SHINE",HYPER,7,7.0
09030-7-0,"LOVE SHINE",ANOTHER,9,9.0
09032-5-0,"lower world",HYPER,10,10.5
09032-7-0,"lower world",ANOTHER,12,12.1
09033-5-0,"Make A Difference",HYPER,9,10.2
09033-7-0,"Make A Difference",ANOTHER,10,10.7
09034-5-0,"MARIA (I believe…)",HYPER,8,8.5
09034-7-0,"MARIA (I believe…)",ANOTHER,9,9.6
09035-5-0,moon_child,HYPER,11,11.0
09035-7-0,moon_child,ANOTHER,12,12.4
09036-5-0,"one or eight",HYPER,8,8.5
09036-7-0,"one or eight",ANOTHER,10,10.7
09036-9-0,"one or eight",LEGGENDARIA,12,12.2
09038-5-0,"PARANOiA survivor MAX (9th)",HYPER,7,7.5
09038-5-1,"PARANOIA survivor MAX (EPO)",HYPER,8,8.0
09038-7-0,"PARANOIA survivor MAX",ANOTHER,10,10.7
09039-5-0,"POWER DREAM",HYPER,8,8.5
09039-7-0,"POWER DREAM",ANOTHER,8,8.5
09041-5-0,quasar,HYPER,11,11.2
09041-7-0,quasar,ANOTHER,12,12.6
09042-5-0,Quickening,HYPER,7,7.5
09042-7-0,Quickening,ANOTHER,10,10.7
09043-5-0,"Really Love",HYPER,10,10.2
09044-5-0,"RISLIM -Remix-",HYPER,9,9.3
09044-7-0,"RISLIM -Remix-",ANOTHER,12,12.3
09045-5-0,rottel-the-Mercury,HYPER,9,9.6
09045-7-0,rottel-the-Mercury,ANOTHER,11,11.2
09046-5-0,"Silvia Drive",HYPER,10,10.0
09046-7-0,"Silvia Drive",ANOTHER,11,12.0
09047-5-0,SNOW,HYPER,8,8.0
09047-7-1,"SNOW (DJT)",ANOTHER,10,10.7
09048-5-0,"STAR FIELD",HYPER,8,8.5
09049-5-0,"Sweet Sweet Magic",HYPER,9,9.0
09049-7-0,"Sweet Sweet Magic",ANOTHER,11,10.7
09050-5-0,"SWEETEST SAVAGE",HYPER,7,7.5
09050-7-0,"SWEETEST SAVAGE (9th)",ANOTHER,8,8.5
09050-7-1,"SWEETEST SAVAGE (COP)",ANOTHER,11,11.4
09051-5-0,"SWITCH (9th)",HYPER,7,8.5
09051-5-1,"SWITCH (CS DJT)",HYPER,7,7.5
09051-7-1,"SWITCH (CS DJT)",ANOTHER,9,9.3
09053-7-0,"The end of my spiritually",ANOTHER,8,8.5
09054-5-0,"traces -tracing you mix-",HYPER,9,9.6
09055-5-0,"Two DAYS OF LOVE",HYPER,8,8.5
09055-7-0,"Two DAYS OF LOVE",ANOTHER,10,10.0
09056-7-0,"u gotta groove -extend joy style-",ANOTHER,10,11.0
09057-5-0,"WANNA TELL THAT WORD",HYPER,7,5.9
09058-5-0,"Your Body",HYPER,7,8.0
09060-5-0,"昭和企業戦士荒山課長",HYPER,7,6.5
09061-5-0,"真夏の花・真夏の夢",HYPER,8,8.5
09061-7-0,"真夏の花・真夏の夢",ANOTHER,10,10.5
10001-5-0,"1st Samurai",HYPER,10,11.0
10001-7-0,"1st Samurai",ANOTHER,12,12.1
10003-5-0,"A-JAX (3-WAY MIX)",HYPER,8,9.0
10003-7-0,"A-JAX (3-WAY MIX)",ANOTHER,10,10.2
10004-5-0,"ALIEN TEMPLE",HYPER,8,8.0
